show_id,title,director,cast,country,date_added,release_year,rating,content_category,preferences,Cluster
s2,Blood & Water,Unknown Director,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas, TV Mysteries",85,3
s3,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, TV Action & Adventure",44,1
s4,Jailbirds New Orleans,Unknown Director,Unknown Cast,,"September 24, 2021",2021,TV-MA,"TV Show - Docuseries, Reality TV",55,1
s5,Kota Factory,Unknown Director,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,"TV Show - International TV Shows, Romantic TV Shows, TV Comedies",90,1
s6,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,"TV Show - TV Dramas, TV Horror, TV Mysteries",59,1
s9,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,"TV Show - British TV Shows, Reality TV",55,1
s11,"Vendetta: Truth, Lies and The Mafia",Unknown Director,Unknown Cast,,"September 24, 2021",2021,TV-MA,"TV Show - Crime TV Shows, Docuseries, International TV Shows",60,2
s12,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,"TV Show - Crime TV Shows, International TV Shows, TV Action & Adventure",48,0
s15,Crime Stories: India Detectives,Unknown Director,Unknown Cast,,"September 22, 2021",2021,TV-MA,"TV Show - British TV Shows, Crime TV Shows, Docuseries",96,1
s16,Dear White People,Unknown Director,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,"TV Show - TV Comedies, TV Dramas",91,0
s18,Falsa identidad,Unknown Director,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,"TV Show - Crime TV Shows, Spanish-Language TV Shows, TV Dramas",94,1
s20,Jaguar,Unknown Director,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,"TV Show - International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",97,1
s21,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,Unknown Cast,,"September 22, 2021",2021,TV-14,"TV Show - Crime TV Shows, Docuseries, International TV Shows",55,0
s22,Resurrection: Ertugrul,Unknown Director,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,"TV Show - International TV Shows, TV Action & Adventure, TV Dramas",46,2
s26,Love on the Spectrum,Unknown Director,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,"TV Show - Docuseries, International TV Shows, Reality TV",44,1
s32,Chicago Party Aunt,Unknown Director,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,"September 17, 2021",2021,TV-MA,TV Show - TV Comedies,89,1
s33,Sex Education,Unknown Director,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,TV-MA,"TV Show - British TV Shows, International TV Shows, TV Comedies",45,0
s34,Squid Game,Unknown Director,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,"September 17, 2021",2021,TV-MA,"TV Show - International TV Shows, TV Dramas, TV Thrillers",93,1
s35,Tayo and Little Wizards,Unknown Director,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,TV-Y7,TV Show - Kids' TV,93,3
s38,Angry Birds,Unknown Director,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,TV-Y7,"TV Show - Kids' TV, TV Comedies",46,1
s40,Chhota Bheem,Unknown Director,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,TV-Y7,TV Show - Kids' TV,56,1
