content_category,total_count,avg_preference,avg_release_year
Movie - Action & Adventure,128,72.953125,2011.6171875
"Movie - Action & Adventure, Anime Features",1,70.0,2021.0
"Movie - Action & Adventure, Anime Features, Children & Family Movies",4,69.0,2019.25
"Movie - Action & Adventure, Anime Features, Classic Movies",2,64.0,1980.0
"Movie - Action & Adventure, Anime Features, Horror Movies",1,48.0,2016.0
"Movie - Action & Adventure, Anime Features, International Movies",38,72.1842105263158,2008.2631578947369
"Movie - Action & Adventure, Anime Features, Sci-Fi & Fantasy",4,59.25,2010.25
"Movie - Action & Adventure, Children & Family Movies",2,44.5,2010.0
"Movie - Action & Adventure, Children & Family Movies, Classic Movies",4,79.75,1984.5
"Movie - Action & Adventure, Children & Family Movies, Comedies",5,74.8,2005.4
"Movie - Action & Adventure, Children & Family Movies, Cult Movies",1,51.0,1986.0
"Movie - Action & Adventure, Children & Family Movies, Dramas",3,67.66666666666667,2008.0
"Movie - Action & Adventure, Children & Family Movies, Independent Movies",1,85.0,2018.0
"Movie - Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",6,66.16666666666667,2013.1666666666667
"Movie - Action & Adventure, Classic Movies",5,63.8,1975.2
"Movie - Action & Adventure, Classic Movies, Comedies",4,71.5,1975.0
"Movie - Action & Adventure, Classic Movies, Cult Movies",5,64.4,1980.0
"Movie - Action & Adventure, Classic Movies, Dramas",9,81.0,1974.2222222222222
"Movie - Action & Adventure, Classic Movies, International Movies",1,45.0,1968.0
"Movie - Action & Adventure, Classic Movies, Sci-Fi & Fantasy",1,100.0,1956.0
"Movie - Action & Adventure, Comedies",51,72.15686274509804,2008.0
"Movie - Action & Adventure, Comedies, Cult Movies",4,73.75,2003.0
"Movie - Action & Adventure, Comedies, Dramas",27,71.55555555555556,2011.111111111111
"Movie - Action & Adventure, Comedies, Horror Movies",1,97.0,2018.0
"Movie - Action & Adventure, Comedies, Independent Movies",7,60.714285714285715,2008.857142857143
"Movie - Action & Adventure, Comedies, International Movies",70,72.78571428571429,2011.2285714285715
"Movie - Action & Adventure, Comedies, Music & Musicals",1,49.0,2014.0
"Movie - Action & Adventure, Comedies, Romantic Movies",4,70.0,2013.75
"Movie - Action & Adventure, Comedies, Sci-Fi & Fantasy",8,74.25,2005.5
"Movie - Action & Adventure, Comedies, Sports Movies",1,60.0,2006.0
